kb_id,title,body,product_area,csat_avg,created_at
KB-1016,Duplicate charge on customer's statement,"Duplicate charges occur when a payment retry is triggered after a network timeout but the original payment succeeded. Check payment processor logs for both transaction IDs. If both are successful, issue a refund for the duplicate. Implement idempotency checks using the payment_intent_id to prevent future duplicates.",billing,4.7,2026-02-12
KB-1017,Subscription renewal fails for expired credit card,"Card expiry is the most common cause of renewal failure. The system sends expiry reminder emails 30 and 7 days before expiry. If the renewal fails: 1) Notify the customer to update their card. 2) Retry the charge after card update. 3) Apply a 3-day grace period before suspending service.",billing,4.4,2026-02-15
KB-1018,Tax calculation wrong for EU customers post-VAT change,"EU VAT rates are updated annually. If VAT is calculated incorrectly, verify the tax table version in Settings → Billing → Tax Configuration. Update to the latest tax table from the compliance portal. Re-calculate affected invoices via Admin → Billing → Recalculate Tax for Date Range.",billing,4.5,2026-02-18
KB-1019,Coupon code not applying discount at checkout,"Coupon validation fails silently if the coupon is expired, has reached its usage limit, or does not apply to the selected plan. Debug: Admin → Billing → Coupons → view coupon details. Check expiry date, max_redemptions vs current_redemptions, and eligible_plans list.",billing,4.3,2026-02-20
KB-1020,Annual billing amount not matching quoted price,"Price locks are applied at the time of subscription creation. If the plan price changes after the customer subscribes, their locked price is preserved. If they see a different amount, check Admin → Billing → Subscriptions → Price History for any manual overrides that may have been applied.",billing,4.6,2026-02-22
KB-1021,Application crashes on startup with segmentation fault,"A segfault at startup typically indicates a corrupt binary, missing shared library, or incompatible native module. Steps: 1) Run with ulimit -c unlimited and inspect the core dump with gdb. 2) Check ldd output for missing dependencies. 3) Rebuild native modules against the current Node/Python version. 4) Verify disk integrity with fsck.",crash,4.5,2026-03-01
KB-1022,Out of memory error causes process termination,"OOM kills are logged in /var/log/syslog (Linux) or the Windows Event Log. Identify the leaking component via heap dump (jmap for JVM, memory_profiler for Python). Common causes: unbounded in-memory cache, unclosed database cursors, circular object references. Increase swap as a temporary measure.",crash,4.4,2026-03-03
KB-1023,Unhandled exception in background worker process,"Unhandled exceptions in background workers often indicate a missing error boundary in the task handler. Check worker logs for the stack trace. Wrap the task handler in a try/except block and log the error before re-queuing or dead-lettering the message. Enable Sentry integration for automatic exception capture.",crash,4.6,2026-03-05
KB-1024,Application freezes and becomes unresponsive under load,"Deadlocks and connection pool exhaustion are the most common causes of application freeze. Check: 1) Database connection pool size vs concurrent requests. 2) Thread dump (jstack for JVM) for deadlock signatures. 3) Event loop blocking in async applications. Increase the connection pool size and add a connection timeout.",crash,4.3,2026-03-08
KB-1025,Kernel panic after system update on production server,"Kernel panics after updates indicate driver incompatibility or module version mismatch. Steps: 1) Boot from the previous kernel using GRUB menu. 2) Check dmesg for the panic reason. 3) Identify the conflicting module. 4) Hold the kernel version: apt-mark hold linux-image-generic. Report to the distro maintainer.",crash,4.5,2026-03-10
KB-1026,Database connection pool exhausted causing service crash,"Pool exhaustion causes new requests to fail with connection timeout errors. Immediate fix: increase pool size in application config. Long-term: 1) Profile slow queries consuming connections. 2) Add connection timeouts. 3) Implement circuit breaker pattern. 4) Consider read replicas for query-heavy workloads.",crash,4.7,2026-03-12
KB-1027,Service crashes with SIGKILL from systemd watchdog,"The systemd watchdog kills the service if it doesn't send a keepalive notification within the WatchdogSec interval. Ensure the application calls sd_notify(WATCHDOG=1) at regular intervals. Increase WatchdogSec if the application has long blocking operations during normal operation.",crash,4.4,2026-03-15
KB-1028,Stack overflow in recursive data processing function,"Stack overflow indicates either infinite recursion (check base case) or excessively deep recursion on large datasets. Solutions: 1) Add recursion depth limit with explicit error. 2) Convert to iterative approach using an explicit stack data structure. 3) Increase thread stack size as a temporary workaround.",crash,4.5,2026-03-18
KB-1029,Process hangs during graceful shutdown,"Graceful shutdown hangs when in-flight requests are not completing before the shutdown timeout. Check for: 1) Long-running database transactions not committed/rolled back. 2) External HTTP calls without timeout. 3) Message queue consumers waiting for acknowledgement. Add explicit timeouts to all blocking operations.",crash,4.3,2026-03-20
KB-1030,Core dump generated but application restarts successfully,"Intermittent core dumps with successful restarts indicate a signal caught by the crash handler (e.g. SIGSEGV from a race condition). Enable core dump analysis: coredumpctl list, coredumpctl debug. Use AddressSanitizer in staging to identify the root cause before it causes a full outage.",crash,4.6,2026-03-22
KB-1031,Mobile app crashes on deep link when session token is expired,"Deep links bypass the normal auth flow and land directly on a protected screen. If the session token is expired, the app must redirect to login and return to the deep link destination after authentication. Implement deep link deferred routing: store the destination URL before redirecting to login.",mobile,4.5,2026-04-01
KB-1032,Push notifications not received on iOS after app update,"Push notification failures on iOS after an update usually indicate an expired or revoked APNs certificate. Steps: 1) Check APNs certificate expiry in Apple Developer portal. 2) Upload the new certificate to the push notification service. 3) Verify device token is re-registered after update. 4) Check APNs error response codes.",mobile,4.4,2026-04-03
KB-1033,Android app crashes on back navigation from payment screen,"Back navigation from payment screens can trigger crashes if the payment activity doesn't properly save and restore state. Ensure onSaveInstanceState handles payment state. Add try/catch around the payment fragment detach. Check for null pointer exceptions in the payment result callback.",mobile,4.6,2026-04-05
KB-1034,App consuming excessive battery on background tasks,"Background task battery drain is caused by wake locks that are not released after task completion. Use WorkManager (Android) or Background App Refresh constraints (iOS) to schedule background work. Profile battery usage with Battery Historian (Android) or Instruments (iOS) to identify the leaking wake lock.",mobile,4.3,2026-04-08
KB-1035,Biometric authentication fails on specific device models,"Biometric API inconsistencies across device manufacturers cause failures on some models. Use the AndroidX Biometric library which provides consistent behaviour across API levels. For devices that fail: 1) Check BiometricManager.canAuthenticate() return code. 2) Provide PIN/password fallback. 3) Report device model to the compatibility tracker.",mobile,4.5,2026-04-10
KB-1036,App hangs on splash screen after OS upgrade,"Splash screen hangs after OS upgrades indicate initialisation code blocked on a background thread that was affected by new threading restrictions. Enable StrictMode in debug builds to detect main thread violations. Move blocking initialisation (database migration, network ping) off the main thread.",mobile,4.7,2026-04-12
KB-1037,Offline mode not syncing data when connection restored,"Offline sync failures occur when the sync queue is cleared on app restart. Persist the sync queue to local storage (SQLite or Core Data) so it survives restarts. On connectivity change, trigger a sync by observing ConnectivityManager (Android) or NWPathMonitor (iOS).",mobile,4.4,2026-04-15
KB-1038,In-app purchase fails with 'Product not found' error,"StoreKit / Play Billing returns product not found if: 1) Product ID in code doesn't match the store console. 2) Product is not in APPROVED state. 3) Tester account is not in the sandbox environment. Verify product IDs match exactly and check the product status in App Store Connect / Play Console.",mobile,4.5,2026-04-18
KB-1039,App crashes on first launch after fresh install on tablet,"First-launch crashes on tablets often indicate layout issues with larger screen sizes not handled in the code. Check for: 1) Missing tablet-specific layouts in res/layout-large. 2) Fragment transactions on a null activity. 3) Configuration change not handled during initialisation. Enable crash reporting for install events.",mobile,4.3,2026-04-20
KB-1040,App update causes user settings to reset to defaults,"User settings reset after update indicates the SharedPreferences / UserDefaults storage key or schema changed. Implement a settings migration layer that reads old keys and writes to new keys on first launch after update. Increment the settings schema version in the app config.",mobile,4.6,2026-04-22
KB-1041,Network timeout on API calls from mobile client,"Mobile network timeouts are higher than desktop due to cellular network variability. Set mobile client timeouts to 30s (connect) and 60s (read) instead of the default 10s. Implement exponential backoff retry (max 3 retries) for transient failures. Use HTTP/2 multiplexing to reduce connection overhead.",mobile,4.5,2026-05-01
KB-1042,Deep link routing broken after navigation library upgrade,"Navigation library upgrades can change how deep links are parsed. After upgrading: 1) Rebuild the navigation graph with the new version. 2) Test all registered deep link patterns. 3) Check URI scheme registration in AndroidManifest / Info.plist. 4) Verify the NavController handles deep links before activity recreation.",mobile,4.4,2026-05-03
KB-1043,Video streaming buffers constantly on mobile networks,"Constant buffering on mobile networks indicates the default streaming quality is too high for available bandwidth. Implement adaptive bitrate (ABR) streaming: use HLS or DASH with multiple quality levels. Set the initial bitrate estimate based on recent bandwidth samples. Enable bandwidth probing.",mobile,4.6,2026-05-05
KB-1044,App store review rejected due to in-app purchase policy violation,"App store rejections for IAP policy violations are usually guideline 3.1.1 (must use store IAP for digital goods). Review all purchase flows and ensure digital content is purchased through the platform's IAP system. Physical goods and services (ride-sharing, food delivery) are exempt.",mobile,4.3,2026-05-08
KB-1045,Crash on device with low storage space,"Apps crash on low storage when they try to write files without checking available space first. Add disk space checks before writing: StatFs (Android) or FileManager.default.allocatedSizeOfItem (iOS). Show a user-facing warning when available space is below 100 MB. Handle write failures gracefully.",mobile,4.5,2026-05-10
KB-1046,DNS resolution failure causes intermittent connection errors,"DNS resolution failures indicate either a flapping DNS server or TTL misconfiguration. Steps: 1) Check DNS server health (dig @resolver1.opendns.com myip.opendns.com). 2) Reduce TTL to 60s during incidents. 3) Enable DNS prefetching. 4) Configure a secondary DNS resolver as fallback.",network,4.5,2026-05-12
KB-1047,TLS handshake timeout on internal service connections,"TLS handshake timeouts between services indicate cert validation latency or CRL/OCSP check timeout. Fix: 1) Enable OCSP stapling on the server to eliminate client-side OCSP lookup. 2) Increase TLS handshake timeout to 10s. 3) Verify the certificate chain is complete (no missing intermediates).",network,4.4,2026-05-14
KB-1048,WebSocket connection drops after 60 seconds of inactivity,"WebSocket connections dropped by proxies after inactivity are caused by proxy idle connection timeout (commonly 60s). Solutions: 1) Send periodic ping frames every 30s from the client. 2) Configure the proxy idle timeout to 300s. 3) Implement client-side auto-reconnect with exponential backoff.",network,4.6,2026-05-16
KB-1049,API gateway returning 502 Bad Gateway sporadically,"Sporadic 502 errors from the API gateway indicate upstream service instability. Check: 1) Upstream service health metrics. 2) Connection pool exhaustion at the gateway. 3) Upstream response time spikes. Enable gateway-level circuit breaking: open circuit after 50% error rate in 10s window.",network,4.3,2026-05-18
KB-1050,Certificate chain validation fails for internal CA certificates,"Internal CA certificates are not trusted by default in client systems. Deploy the internal CA root certificate via: 1) Group Policy (Windows). 2) update-ca-certificates (Linux). 3) System profile (macOS/iOS). 4) Custom TrustManager (Android). Test with openssl s_client -verify_return_error.",network,4.5,2026-05-20
KB-1051,HTTP/2 requests fail while HTTP/1.1 works correctly,"HTTP/2 failures with HTTP/1.1 fallback working indicate h2 protocol negotiation issues. Check: 1) ALPN negotiation (openssl s_client -alpn h2). 2) Server-side HTTP/2 configuration. 3) Intermediary proxy stripping h2 upgrade headers. 4) Client library HTTP/2 support enabled.",network,4.7,2026-05-22
KB-1052,Intermittent packet loss causing transaction failures,"Packet loss causing transaction failures indicates network path instability. Diagnose: 1) mtr to identify the lossy hop. 2) Check NIC queue depths (ethtool -S). 3) Verify TCP retransmit rates (ss -s). Mitigations: increase TCP keepalive, enable BBR congestion control, add redundant network paths.",network,4.4,2026-05-24
KB-1053,Service discovery fails after Kubernetes pod restart,"After pod restart, DNS propagation delay causes service discovery failures for ~30s. Solutions: 1) Add initialDelaySeconds to readiness probe. 2) Implement retry logic with 5s backoff for service calls at startup. 3) Use headless services for direct pod IP resolution to bypass kube-dns caching.",network,4.5,2026-05-26
KB-1054,VPN split tunnelling blocking internal API access,"Split tunnel VPN configurations may exclude internal API subnets from the tunnel. Verify: 1) Check the VPN routing table (route print / ip route show). 2) Ensure internal API IP ranges are in the include list. 3) Test with full-tunnel VPN to confirm the issue is split-tunnel related.",network,4.3,2026-05-28
KB-1055,Rate limiting blocking legitimate high-volume API consumers,"Aggressive rate limiting affects legitimate high-volume consumers. Solutions: 1) Create enterprise-tier API key with elevated limits. 2) Implement per-endpoint rate limits (lower for write operations, higher for reads). 3) Add rate limit headers (X-RateLimit-Remaining) to help consumers back off gracefully.",network,4.6,2026-05-30
KB-1056,Email notification delayed by 30+ minutes,"Email delivery delays are caused by SMTP relay queue congestion. Check queue length: postqueue -p. If > 1000 messages, investigate: 1) DKIM signing performance. 2) DNS lookup timeouts for recipient MX records. 3) Per-domain rate limiting by the relay. Process the queue with postqueue -f after resolving the bottleneck.",auth,4.4,2026-01-30
KB-1057,User account deleted but data still accessible via API,"After account deletion, the session tokens issued to that account remain valid until they expire. Implement token revocation: add deleted accounts to a blocklist checked during token validation. The blocklist is cleared after the token's natural expiry to avoid unbounded growth.",auth,4.7,2026-02-02
KB-1058,Webhook delivery fails with connection refused,"Webhook delivery failures indicate the recipient endpoint is down or behind a firewall. Add automatic retry with exponential backoff (15s, 30s, 1m, 5m, 15m). Log each delivery attempt with response code. After 5 failures, send an alert to the webhook owner and disable the webhook.",network,4.5,2026-05-15
KB-1059,Billing statement shows wrong currency for international customers,"Currency is determined at subscription creation time and stored on the subscription record. If the currency changed (e.g. due to account region update), existing subscriptions retain the original currency. New subscriptions use the account's current currency. Provide a currency migration path via support ticket.",billing,4.4,2026-02-25
KB-1060,Push notification tokens invalidate after user logs out and logs in,"Device push tokens are per-device, not per-user session. Unregistering tokens on logout prevents notifications from the previous session but the app must re-register the token after login. Ensure the app calls registerForRemoteNotifications / FirebaseMessaging.getToken() on each successful login.",mobile,4.6,2026-04-25
KB-1061,Signup blocked by spam filter incorrectly classifying valid emails,"Spam filters use heuristics that can produce false positives for legitimate emails. Whitelist known valid email patterns in the spam filter configuration. For self-service resolution, provide a CAPTCHA-based override on the signup page. Log blocked signups for periodic manual review.",auth,4.3,2026-02-05
KB-1062,Memory leak in report generation service causes weekly crash,"Memory leaks in report generation indicate large report objects not being garbage collected after use. Steps: 1) Take heap snapshot before and after report generation. 2) Identify retained objects. 3) Explicitly close PDF/Excel writers. 4) Implement report streaming instead of loading the full dataset into memory.",crash,4.5,2026-03-25
KB-1063,Slow query causing timeout in billing summary endpoint,"The billing summary query performs a full table scan on the transactions table. Add a composite index on (account_id, created_at, status). Use query hints to force the index. For very large accounts, implement pagination and async report generation via a background job.",billing,4.7,2026-03-01
KB-1064,App background refresh not working on iOS 17,"iOS 17 introduced stricter background refresh restrictions for apps not in the user's frequent apps list. Ensure the app uses BGAppRefreshTask (not the deprecated UIApplication backgroundFetch). Register the task identifier in Info.plist. Test with the BGTaskScheduler debug menu in Simulator.",mobile,4.4,2026-05-02
KB-1065,CORS preflight failing for cross-origin API requests,"CORS preflight failures indicate missing Access-Control-Allow-Origin or Access-Control-Allow-Headers response headers. Configure the API to respond to OPTIONS requests with the correct headers. For FastAPI: use CORSMiddleware with allow_origins, allow_methods, and allow_headers.",network,4.5,2026-05-16
KB-1066,Two-factor authentication SMS not delivered in certain regions,"SMS delivery in some regions is blocked by local carrier filtering or TPDU regulations. Switch to an SMS provider with regional coverage (e.g. Twilio → local aggregator). As a fallback, offer TOTP authenticator app or email OTP for regions with poor SMS reliability.",auth,4.6,2026-01-22
KB-1067,Bulk import fails silently for rows over 500 characters,"The bulk import parser truncates rows silently when the line exceeds the configured max_line_length (default 500 chars). Increase max_line_length in the import config or implement streaming line parsing to handle long rows. Add validation errors to the import summary report.",crash,4.3,2026-03-28
KB-1068,Stripe webhook signature validation fails intermittently,"Stripe webhook signature validation uses the raw request body and the webhook signing secret. Failures occur when a middleware (e.g. body parser) reads and re-serialises the body before verification. Ensure the raw body is captured before any JSON parsing. Use express.raw() or FastAPI's Request.body().",billing,4.6,2026-03-05
KB-1069,App crashes when processing image attachments over 10 MB,"Large image processing causes OOM crashes. Implement progressive image loading: 1) Validate file size before processing. 2) Compress images to max 2 MB before upload. 3) Process images in a background thread with explicit memory limits. 4) Use system image frameworks (UIImage/Bitmap) with explicit recycle calls.",mobile,4.5,2026-04-28
KB-1070,Kubernetes horizontal pod autoscaler not scaling under load,"HPA scaling is blocked when the metrics server is unavailable or the CPU limit is not set on the pod. Prerequisites: 1) metrics-server deployed and returning data. 2) resource.limits.cpu set in pod spec. 3) HPA min/maxReplicas configured. Scale delay is default 3 minutes — check with kubectl describe hpa.",network,4.4,2026-05-20
KB-1071,Login page unresponsive after failed captcha verification,"CAPTCHA verification failure leaves the submit button in a disabled state when the error handler doesn't re-enable it. Fix the error handler to call grecaptcha.reset() and re-enable the submit button on verification failure. Test with deliberately wrong CAPTCHA responses.",auth,4.6,2026-02-08
KB-1072,File upload fails for PDFs with special characters in filename,"Special characters in filenames cause upload failures when the filename is used unescaped in the Content-Disposition header. Sanitise filenames on upload: replace non-ASCII characters with underscores. URL-encode the filename in the Content-Disposition header per RFC 6266.",crash,4.5,2026-03-30
KB-1073,Subscription paused incorrectly during billing retry window,"The billing retry logic incorrectly pauses the subscription after the first retry failure instead of after all retries are exhausted. Update the retry policy: pause only after 3 consecutive failures over 7 days. Send a dunning email sequence during the retry window.",billing,4.4,2026-03-08
KB-1074,App widget crashes after phone restart on Android 12+,"Android 12+ added new widget update restrictions. Widget providers must handle the ACTION_APPWIDGET_UPDATE broadcast even when the app is not running. Use WorkManager to schedule widget updates and handle the broadcast in a BroadcastReceiver that queues a WorkManager task.",mobile,4.6,2026-05-05
KB-1075,REST API response time degrades over 72 hours without restart,"Performance degradation over time indicates a slow memory leak or connection accumulation. Add a memory usage endpoint (/metrics) and alert on RSS growth > 10% per hour. Short-term: add scheduled restart via systemd OnCalendar. Long-term: profile with py-spy or async-profiler.",network,4.3,2026-06-01
KB-1076,Email verification link expired before user can click it,"The default verification link expiry is 24 hours. Users in low-connectivity regions or who receive email asynchronously may miss this window. Increase expiry to 72 hours and add a 'Resend verification email' self-service link on the login page.",auth,4.5,2026-02-10
KB-1077,Application fails to start with 'Address already in use' error,"Port conflict at startup indicates a previous instance did not shut down cleanly. Steps: 1) lsof -i :PORT to find the PID. 2) kill -9 PID. 3) If using systemd, add StartLimitIntervalSec and RestartSec to prevent rapid restart loops.",crash,4.7,2026-04-01
KB-1078,GraphQL subscription disconnects on server-side event burst,"GraphQL subscription disconnects under event bursts indicate the WebSocket write buffer is overflowing. Implement server-side event batching: collect events within a 50ms window and send as a single subscription update. Add client-side reconnection with subscription replay from the last received cursor.",network,4.4,2026-06-03
KB-1079,Credit note not applied automatically to next invoice,"Credit notes are applied manually by default. Enable automatic credit application: Admin → Billing → Settings → Auto-apply credit notes. This applies available credit before charging the payment method on each invoice cycle.",billing,4.6,2026-03-10
KB-1080,App shows stale user profile data after account update from web,"The mobile app caches user profile data for 5 minutes (TTL). After a web-side update, the app shows stale data until the cache expires. Solutions: 1) Reduce cache TTL to 60s. 2) Implement server-sent events to push profile updates to connected mobile clients. 3) Force cache invalidation on app foreground.",mobile,4.5,2026-05-08
KB-1081,Two users assigned same ticket ID causing data corruption,"Ticket ID collisions occur under high concurrency when IDs are generated client-side or using non-atomic sequences. Replace with a database-level auto-increment or a distributed ID generator (Snowflake, ULID). Add a UNIQUE constraint on the ticket_id column to catch any remaining collisions.",crash,4.7,2026-04-03
KB-1082,Payments failing for customers using virtual credit cards,"Virtual credit cards from privacy.com and similar services use the actual billing address of the underlying account, which may not match what the customer enters. Disable AVS (Address Verification System) strict matching for virtual card BINs. Maintain a BIN range list for known virtual card issuers.",billing,4.4,2026-03-12
KB-1083,API rate limit counter not resetting at the start of each hour,"The rate limit counter uses a rolling window algorithm which does not reset at the top of the hour. If customers expect fixed-window resets, switch to a fixed-window counter keyed on floor(now / 3600). Document the algorithm in the API developer documentation.",network,4.5,2026-06-05
KB-1084,App notifications shown after user opted out in settings,"Notification opt-out preference stored locally is not synchronised to the server. On opt-out, immediately call PATCH /users/{id}/notification_preferences to persist the preference server-side. The push notification sending job must check server-side preferences before sending.",mobile,4.6,2026-05-10
KB-1085,Search index returning stale results after bulk data import,"The search index update job runs every 5 minutes by default. After a bulk import, trigger an immediate index rebuild: POST /admin/search/reindex with the affected entity types. Monitor reindex progress at GET /admin/search/reindex/status.",network,4.3,2026-06-08
KB-1086,System sending duplicate welcome emails to new users,"Duplicate welcome emails are sent when the user creation event is published twice due to a database commit retry. Add idempotency: check for existing welcome email record before sending. Use the user_id as the idempotency key in the email job.",auth,4.5,2026-02-12
KB-1087,Session expiry not extended on user activity for long sessions,"Session extension on activity relies on the session middleware updating the session cookie on each request. If the session store update fails silently, the session is not extended. Add error handling to the session extension code and log failures. Use a session heartbeat endpoint for single-page apps.",auth,4.7,2026-02-15
KB-1088,Subscription cancellation not stopping scheduled emails,"The email scheduler checks subscription status at job creation time, not at send time. Update the scheduler to check subscription status at send time. Add a subscription_active field to the scheduled job record that is updated when the subscription is cancelled.",billing,4.4,2026-03-15
KB-1089,Failed payment webhook not triggering customer notification,"The webhook handler for payment.failed events has an unhandled exception when the customer email is null. Add null check before sending notification. Update the webhook handler to log and continue rather than throwing on missing optional fields.",billing,4.6,2026-03-18
KB-1090,App login fails on first attempt but succeeds on retry,"The first login attempt fails due to a race condition between token storage and the redirect that uses the token. Add a small delay after token storage before redirecting, or use async/await to ensure storage completion before redirect. Test on slow devices where the race is more likely.",mobile,4.5,2026-05-12
KB-1091,File download links expire before the download completes,"Pre-signed download URLs expire during large file downloads on slow connections. Increase the URL expiry to 12 hours for files > 100 MB. For very large files, implement chunked download with per-chunk signed URLs that are refreshed by the client as needed.",network,4.4,2026-06-10
KB-1092,Error 500 on report export for accounts with >100k records,"Report exports for large accounts hit the default 30s request timeout. Move report generation to an async background job: 1) Accept report request, return job_id. 2) Generate report in background. 3) Notify via email/webhook when ready. 4) Provide download link valid for 24h.",crash,4.7,2026-04-05
KB-1093,Third-party OAuth login fails after redirect URI update,"After updating the redirect URI in the OAuth application settings, existing authorisation codes become invalid. The OAuth provider caches the previous redirect URI. Steps: 1) Clear the OAuth provider's redirect URI cache. 2) Re-test with a fresh authorisation code flow. 3) Update all OAuth application registrations.",auth,4.4,2026-02-18
KB-1094,Mobile app freezes on barcode scan screen after 5 minutes,"Barcode scanner camera session is not properly managed, causing resource exhaustion after extended use. Close the camera session when the app goes to background and re-open on foreground. Release the camera capture session and input when the scan screen is not active.",mobile,4.6,2026-05-15
KB-1095,Audit log missing entries for bulk operations,"Bulk operations bypass the audit logging middleware because they use direct database access. Route bulk operations through the service layer to ensure audit logging is applied. Add integration tests that verify audit log entries are created for each supported bulk operation type.",auth,4.3,2026-02-20
KB-1096,Payment method update fails for subscriptions with pending invoices,"Subscriptions with pending invoices cannot update payment method until the invoice is settled. Clear the pending invoice by retrying with the old card or applying a credit. Once settled, the payment method update will succeed. Document this requirement in the payment update API error response.",billing,4.5,2026-03-20
KB-1097,App search results empty after installing app on new device,"Search index is rebuilt on first sync, which can take several minutes on a new device. Show a 'Syncing...' indicator during initial sync and display results as they become available. Prioritise indexing frequently accessed items first.",mobile,4.7,2026-05-18
KB-1098,Service mesh circuit breaker triggering prematurely,"Premature circuit breaker trips indicate the error threshold or volume threshold is too low for the traffic pattern. Tune: 1) Increase requestVolumeThreshold from 10 to 20. 2) Increase errorThresholdPercentage from 50% to 60%. 3) Add request volume minimum before circuit can open.",network,4.4,2026-06-12
KB-1099,Automated tests timing out in CI pipeline but passing locally,"CI timeouts indicate the test environment has less resources than local. Steps: 1) Increase test timeout in CI config. 2) Profile slow tests with pytest-timeout. 3) Mock external API calls in CI. 4) Use parallel test execution to reduce wall-clock time.",crash,4.5,2026-04-08
KB-1100,GDPR data export missing some user records,"GDPR export scripts may miss records stored in secondary databases or event streams. Audit all data stores that hold user PII. Update the export script to include: main database, event store, email service, analytics database, and any third-party integrations that store user data.",auth,4.6,2026-02-22
